ID,LAT,LON,Location,state,tz
[ANB],33.58,85.85,Anniston,AL,-6
[AUO],32.67,85.44,Auburn,AL,-6
[BHM],33.57,86.75,Birmingham,AL,-6
[CKL],32.9,87.25,Centreville,AL,-6
[DHN],31.32,85.45,Dothan,AL,-6
[OZR],31.28,85.72,Fort Rucker,AL,-6
[GAD],33.97,86.09,Gadsden,AL,-6
[HSV],34.65,86.77,Huntsville,AL,-6
[MXF],32.38,86.37,Maxwell AFB,AL,-6
[MOB],30.68,88.25,Mobile,AL,-6
[BFM],30.63,88.07,Mobile Aeros,AL,-6
[MGM],32.3,86.4,Montgomery,AL,-6
[MSL],34.75,87.62,Muscle Shoal,AL,-6
[SEM],32.34,86.99,Selma,AL,-6
[TOI],31.87,86.02,Troy,AL,-6
[TCL],33.23,87.62,Tuscaloosa,AL,-6
[ADK],51.88,176.65,Adak,AK,-9
[Z60],67.1,157.85,Ambler,AK,-9
[ANC],61.17,150.02,Anchorage,AK,-9
[MRI],61.22,149.85,Anchorage,AK,-9
[AGN],57.83,134.97,Angoon,AK,-9
[ANI],61.58,159.53,Aniak,AK,-9
[ANN],55.03,131.57,Annette Isl,AK,-9
[ATU],53.5,173.3,Attu,AK,-9
[BRW],71.3,156.78,Barrow,AK,-9
[BTI],70.13,143.63,Barter Islan,AK,-9
[BET],60.78,161.8,Bethel Arpt,AK,-9
[BTT],66.92,151.52,Bettles,AK,-9
[BIG],64,145.73,Big Delta,AK,-9
[5BI],60.82,152.3,Big River Lk,AK,-9
[Z68],63.38,148.95,Cantwell,AK,-9
[CDE],56,134.22,Cape Decis,AK,-9
[5HN],60.38,147.08,Cape Hinchi,AK,-9
[CSP],58.33,137.05,Cape Spence,AK,-9
[5CE],60.33,145,Cape St Eli,AK,-9
[WCR],67.5,148.48,Chandalar Lk,AK,-9
[Z00],62.88,149.83,Chulitna,AK,-9
[CRC],65.83,144.07,Circle City,AK,-9
[CDB],55.2,162.72,Cold Bay,AK,-9
[CDV],60.5,145.5,Cordova,AK,-9
[CGA],55.8,133.25,Craig,AK,-9
[SCC],70.2,148.47,Deadhorse,AK,-9
[DLG],59.05,158.52,Dillingham,AK,-9
[5SZ],62.73,143.92,Duffys Tavern,AK,-9
[DUT],53.88,166.53,Dutch Harbor,AK,-9
[EAA],64.77,141.15,Eagle Arpt,AK,-9
[ERO],59.62,135.37,Eldred Rock,AK,-9
[ELV],58.2,136.35,Elfin Cove,AK,-9
[FAI],64.82,147.87,Fairbanks,AK,-9
[FWL],62.85,154.47,Farewell,AK,-9
[FIV],57.45,134.03,Five Finger,AK,-9
[FVM],65.93,149.83,Five Mile,AK,-9
[FYU],66.57,145.27,Fort Yukon,AK,-9
[FNR],58.25,134.9,Funter Bay,AK,-9
[GBH],68.48,149.48,Galbraith Lk,AK,-9
[GAM],63.77,171.73,Gambell,AK,-9
[GKN],62.15,145.45,Gulkana Arpt,AK,-9
[GST],58.42,135.73,Gustavus,AK,-9
[Z26],59.23,135.43,Haines Hrbor,AK,-9
[5HR],61.98,152.08,Hayes River,AK,-9
[5EA],63.83,149,Healy River,AK,-9
[HOM],59.63,151.5,Homer,AK,-9
[Z49],58.1,135.45,Hoonah Seapl,AK,-9
[ILI],59.75,154.92,Iliamna Arpt,AK,-9
[JNU],58.37,134.58,Juneau,AK,-9
[KAE],56.97,133.95,Kake Seaplan,AK,-9
[ENA],60.57,151.25,Kenai,AK,-9
[KTN],55.35,131.7,Ketchikan,AK,-9
[AKN],58.68,156.65,King Salmon,AK,-9
[ADQ],57.75,152.5,Kodiak,AK,-9
[OTZ],66.87,162.63,Kotzebue,AK,-9
[5WO],61.63,149.03,Lazy Mtn,AK,-9
[LNI],70.92,153.23,Lonely (dew),AK,-9
[MLY],65,150.65,Manley Ht Sp,AK,-9
[MXY],61.43,142.92,Mccarthy,AK,-9
[MCG],62.97,155.62,Mcgrath,AK,-9
[MYU],60.37,166.27,Mekoryuk,AK,-9
[MDO],59.43,146.33,Middleton Is,AK,-9
[MHM],63.9,152.27,Minchumina,AK,-9
[ENN],64.55,149.08,Nenana,AK,-9
[KSM],62.07,163.3,New Andreafs,AK,-9
[IKO],53.58,169.42,Nikolski,AK,-9
[OME],64.5,165.43,Nome,AK,-9
[ORT],62.97,141.93,Northway,AK,-9
[OLI],70.5,149.88,Oliktok Dew,AK,-9
[PAQ],61.6,149.08,Palmer,AK,-9
[5PX],63.03,145.5,Paxson,AK,-9
[PSG],56.82,132.97,Petersburg,AK,-9
[PIZ],69.82,162.92,Point Lay,AK,-9
[Z76],56.25,134.65,Port Alexndr,AK,-9
[KPC],65.25,166.87,Port Clarnce,AK,-9
[PTH],56.95,158.62,Port Heiden,AK,-9
[PPC],66.82,150.65,Prospect Crk,AK,-9
[PUO],70.25,148.33,Prudhoe Bay,AK,-9
[Z30],60.2,154.3,Pt Alsworth,AK,-9
[PTI],62.17,153.25,Puntilla,AK,-9
[SDP],55.33,160.5,Sand Point,AK,-9
[5WD],60.18,149.75,Seward,AK,-9
[SYA],53.2,174.13,Shemy,AK,-9
[SHH],66.27,166.03,Shishmaref,AK,-9
[SIT],57.07,135.35,Sitka,AK,-9
[SKJ],56.88,154.2,Sitkinak,AK,-9
[SGY],59.75,135.53,Skagway,AK,-9
[SKW],61.97,151.2,Skwentna,AK,-9
[5SO],62.03,146.67,Snowshoe Lk,AK,-9
[SNP],57.15,170.22,St Paul Is,AK,-9
[5GN],61.9,147.3,Tahneta Pass,AK,-9
[TKA],62.3,150.1,Talkeetna,AK,-9
[TAL],65.17,152.1,Tanana,AK,-9
[UMT],69.37,152.13,Umiat,AK,-9
[UNK],63.88,160.8,Unalakleet,AK,-9
[VWS],61.13,146.35,Valdez,AK,-9
[VDZ],61.13,146.25,Valdez 2,AK,-9
[AIN],70.62,159.85,Wainwright,AK,-9
[WAA],66.03,168.08,Wales,AK,-9
[5WT],60.78,148.72,Whittier,AK,-9
[Z22],61.75,150.05,Willow Arpt,AK,-9
[WRG],56.48,132.37,Wrangell,AK,-9
[YAK],59.52,139.67,Yakutat,AK,-9
[DMA],32.17,110.88,Davis-M AFB,AZ,-7
[DVT],33.68,112.08,Deer Valley,AZ,-7
[DUG],31.45,109.6,Douglas,AZ,-7
[FFZ],33.47,111.73,Falcon Fld,AZ,-7
[FLG],35.13,111.67,Flagstaff,AZ,-7
[FHU],31.6,110.35,Fort Huachuc,AZ,-7
[GBN],33.55,113.17,Gila Bend,AZ,-7
[GYR],33.42,112.38,Goodyear,AZ,-7
[GCN],35.95,112.15,Grand Canyon,AZ,-7
[IGM],35.27,113.95,Kingman,AZ,-7
[LUF],33.53,112.38,Luke,AZ,-7
[PGA],36.93,111.45,Page,AZ,-7
[0E4],34.23,111.33,Payson,AZ,-7
[PHX],33.43,112.02,Phoenix,AZ,-7
[PRC],34.65,112.43,Prescott,AZ,-7
[E74],32.82,109.68,Safford Awrs,AZ,-7
[SDL],33.62,111.92,Scottsdale,AZ,-7
[E03],34.27,110,Show Low,AZ,-7
[SOW],34.27,110,Show Low,AZ,-7
[TUS],32.12,110.93,Tucson,AZ,-7
[CHD],33.3,111.67,Williams AFB,AZ,-7
[INW],35.02,110.73,Winslow,AZ,-7
[YUM],33.1,115,Yuma,AZ,-7
[NYL],32.65,114.62,Yuma Mcas,AZ,-7
[1Y7],32.85,114.4,Yuma Prv Gd,AZ,-7
[BYH],35.97,89.95,Blytheville,AR,-6
[CDH],33.52,92.4,Camden,AR,-6
[ELD],33.22,92.8,El Dorado,AR,-6
